UID,Machine Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp
M14860,x1,298.1,308.6,1551,42.8,0,0,No Failure,01/12/2001 00:00
L47181,x_1,298.2,308.7,1408,46.3,3,0,No Failure,01/12/2001 01:00
L47182,x_1,298.1,308.5,1498,49.4,5,0,No Failure,01/12/2001 02:00
L47183,x_1,298.2,308.6,1433,39.5,7,0,No Failure,01/12/2001 03:00
L47184,x_1,298.2,308.7,1408,40,9,0,No Failure,01/12/2001 04:00
M14865,X2,298.1,308.6,1425,41.9,11,0,No Failure,01/12/2011 05:00
L47186,x_1,298.1,308.6,1558,42.4,14,0,No Failure,01/12/2001 06:00
L47187,x_1,298.1,308.6,1527,40.2,16,0,No Failure,01/12/2001 07:00
M14868,x1,298.3,308.7,1667,28.6,18,0,No Failure,01/12/2001 08:00
M14869,x1,298.5,309,1741,107.8,21,0,No Failure,01/12/2001 09:00
H29424,X1,298.4,308.9,1782,23.9,24,0,No Failure,01/12/2001 10:00
H29425,X1,298.6,309.1,1423,44.3,29,0,No Failure,01/12/2001 11:00
M14872,x1,298.6,309.1,1339,51.1,34,0,No Failure,01/12/2001 12:00
M14873,x1,298.6,309.2,1742,30,37,0,No Failure,01/12/2001 13:00
L47194,x_1,298.6,309.2,2035,19.6,40,0,No Failure,01/12/2001 14:00
L47195,x_1,298.6,309.2,1542,48.4,42,0,No Failure,01/12/2001 15:00
M14876,x1,298.6,309.2,1311,46.6,44,0,No Failure,01/12/2001 16:00
M14877,x1,298.7,309.2,1410,125.4,47,0,No Failure,01/12/2001 17:00
H29432,X1,298.8,309.2,1306,54.5,50,0,No Failure,01/12/2001 18:00
M14879,x1,298.9,309.3,1632,32.5,55,0,No Failure,01/12/2001 19:00
H29434,X1,298.9,309.3,1375,42.7,58,0,No Failure,01/12/2001 20:00
L47201,x_1,298.8,309.3,1450,44.8,63,0,No Failure,01/12/2001 21:00
